Timestamp,Your suggestions,Before,After
10/27/22 15:52,"Healthier food options
Better bus transportation service
More funding opportunities
Better assignments
Safety on campus

Better stinger service
Better registration portal
More library space
More crime prevention measures
Better food options in student centre","['Healthier food options', 'Better bus transportation service', 'More funding opportunities', 'Better assignments', 'Safety on campus']","['Better stinger service', 'Better registration portal', 'More library space', 'More crime prevention measures', 'Better food options in student centre']"
10/27/22 15:52,"Lower student fees 
better mental health awareness
More recreational activities
Improve Wi-Fi speed
More outdoor events organized by different student societies.

Sleep early
Get up early
Eat more
Rest more
Drink more water","['Lower student fees ', 'better mental health awareness', 'More recreational activities', 'Improve Wi-Fi speed', 'More outdoor events organized by different student societies.']","['Sleep early', 'Get up early', 'Eat more', 'Rest more', 'Drink more water']"
10/27/22 15:53,"More classes should allow students to attend remotely as this course does.
Provide more industrial-related courses/projects. 
More ECE course options.
Students should be allowed balance between work and life.
Lower housing rent.

Work really hard on assignments, quiz, and exams.
Choose an area that you are most interested in, but do not be afraid of changing it.
Make friends with people whose major is not close to yours.
Explore interesting things other than your major.
Do more exercises as you can.","['More classes should allow students to attend remotely as this course does.', 'Provide more industrial-related courses/projects. ', 'More ECE course options.', 'Students should be allowed balance between work and life.', 'Lower housing rent.']","['Work really hard on assignments, quiz, and exams.', 'Choose an area that you are most interested in, but do not be afraid of changing it.', 'Make friends with people whose major is not close to yours.', 'Explore interesting things other than your major.', 'Do more exercises as you can.']"
10/27/22 15:53,"supportive environment
Cheap food
Better transportation
Better course option
Better internet

supportive environment
better transportation
better curriculum
better consultation 
healthy food with reasonable price","['supportive environment', 'Cheap food', 'Better transportation', 'Better course option', 'Better internet']","['supportive environment', 'better transportation', 'better curriculum', 'better consultation ', 'healthy food with reasonable price']"
10/27/22 15:54,"only open book exams to ensure conceptual understanding
Discounts on COSTCO for foods and gas
Recreational activities and sports should be free of charge.
Safety on campus
Better system for choosing classes

Better food
Free parking lots
More opportunities for job
More school bus
Less workload","['only open book exams to ensure conceptual understanding', 'Discounts on COSTCO for foods and gas', 'Recreational activities and sports should be free of charge.', 'Safety on campus', 'Better system for choosing classes']","['Better food', 'Free parking lots', 'More opportunities for job', 'More school bus', 'Less workload']"
10/27/22 15:54,"Sleep early
Eat more
Free food
Rest more
Safety on campus

More ECE course options.
More RA/TA opportunities.
Lower housing rent.","['Sleep early', 'Eat more', 'Free food', 'Rest more', 'Safety on campus']","['More ECE course options.', 'More RA/TA opportunities.', 'Lower housing rent.']"
10/27/22 15:54,"Increased GRA pay
Being able to easily register for courses from schools other than your
own school
Lower student fees
Create more study spaces on campus
reduce parking fee on campus

increase phd students' salary
reduce parking fee on campus
increase more restaurant on campus
install camera in every classroom for lecture recording
build another gym or recreation center","['Increased GRA pay', 'Being able to easily register for courses from schools other than your', 'own school', 'Lower student fees', 'Create more study spaces on campus', 'reduce parking fee on campus']","[""increase phd students' salary"", 'reduce parking fee on campus', 'increase more restaurant on campus', 'install camera in every classroom for lecture recording', 'build another gym or recreation center']"
10/27/22 15:54,"More ECE course options.
More RA/TA opportunities.
Lower housing rent.
Safety on campus
increase more restaurant on campus

Better 4G/5G coverage
increase more restaurant on campus
Add more public computing resources
More traffic lights at crossroads in tech square
Safety on campus","['More ECE course options.', 'More RA/TA opportunities.', 'Lower housing rent.', 'Safety on campus', 'increase more restaurant on campus']","['Better 4G/5G coverage', 'increase more restaurant on campus', 'Add more public computing resources', 'More traffic lights at crossroads in tech square', 'Safety on campus']"
10/27/22 15:55,"Better system for choosing classes
More stinger bus routes
Cheap and better quality food offerings
Provide more books in library
Regular events for international students to know the America better

Improve course and assignment quality.
Have more delicious food in canteen.
Provide help for career or researching experience.
Quick response to the information consulting.
Clear guide for new students to follow.","['Better system for choosing classes', 'More stinger bus routes', 'Cheap and better quality food offerings', 'Provide more books in library', 'Regular events for international students to know the America better']","['Improve course and assignment quality.', 'Have more delicious food in canteen.', 'Provide help for career or researching experience.', 'Quick response to the information consulting.', 'Clear guide for new students to follow.']"
10/27/22 15:55,"Provide more ECE course options, especially in specializations
Provide cheaper and higher quality food options on campus
Improve course registration such that students are better able to take courses they are interested in
Provide better access to free mental health care
Require less courses for grad students to be full-time, especially international students

Having additional advising for courses by people who are familiar with courses in the department (especially for grad students)
Having more common spaces to do work on campus (in addition to CULC + Crosland)
Having umbrellas that can be borrowed on campus
Increasing visibility and ease of using dining halls
Better course options","['Provide more ECE course options, especially in specializations', 'Provide cheaper and higher quality food options on campus', 'Improve course registration such that students are better able to take courses they are interested in', 'Provide better access to free mental health care', 'Require less courses for grad students to be full-time, especially international students']","['Having additional advising for courses by people who are familiar with courses in the department (especially for grad students)', 'Having more common spaces to do work on campus (in addition to CULC + Crosland)', 'Having umbrellas that can be borrowed on campus', 'Increasing visibility and ease of using dining halls', 'Better course options']"
10/27/22 15:55,"Besides, I wish there could be some centralize system which could sync the assignment submission date that no two or three assignments due on same day
Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning
Grades should be provided more promptly so students can more quickly learn from their mistakes and understand their current grade standings.
More classes offered
Lower the tuition and fee for out-of-state students


More classes should allow students to attend remotely as this course does.
More courses should provide lecture recordings for students’ review.
More courses should publish lecture slides a night in advance so students can review material before lecture.
Steps should be taken to spread out midterms such that a student does not have 3+ midterms in one week. 
Grades should be provided more promptly so students can more quickly learn from their mistakes and understand their current grade standings.","['Besides, I wish there could be some centralize system which could sync the assignment submission date that no two or three assignments due on same day', 'Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning', 'Grades should be provided more promptly so students can more quickly learn from their mistakes and understand their current grade standings.', 'More classes offered', 'Lower the tuition and fee for out-of-state students']","['', 'More classes should allow students to attend remotely as this course does.', 'More courses should provide lecture recordings for students’ review.', 'More courses should publish lecture slides a night in advance so students can review material before lecture.', 'Steps should be taken to spread out midterms such that a student does not have 3+ midterms in one week. ', 'Grades should be provided more promptly so students can more quickly learn from their mistakes and understand their current grade standings.']"
10/27/22 15:55,"better system for choosing classes
providing more projects that give a hands on experience to students
less emails
architecture of new buildings should be less industrial
a 'real' soccer court with two gates

less noisy A/C units on buildings
hop-on campus golfcarts
better looking OSCAR
easier access to MARTA
free ice cream on Fridays","['better system for choosing classes', 'providing more projects that give a hands on experience to students', 'less emails', 'architecture of new buildings should be less industrial', ""a 'real' soccer court with two gates""]","['less noisy A/C units on buildings', 'hop-on campus golfcarts', 'better looking OSCAR', 'easier access to MARTA', 'free ice cream on Fridays']"
10/27/22 15:55,"More ECE course options.
More RA/TA opportunities.
Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.
diversity in food options, Make meal plans more flexible/affordable, more Asian food on campus
We can have free shared bikes or scooters for students to access in the campus

Each grad student has1 advisor to know closely what is their academic progress
Job related workshops and 1on 1 type advisor meetings and have industry mentors
Social events for students to get to know each other
Regular events for international students to know the America better
We can have free shared bikes or scooters for students to access in the campus","['More ECE course options.', 'More RA/TA opportunities.', 'Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.', 'diversity in food options, Make meal plans more flexible/affordable, more Asian food on campus', 'We can have free shared bikes or scooters for students to access in the campus']","['Each grad student has1 advisor to know closely what is their academic progress', 'Job related workshops and 1on 1 type advisor meetings and have industry mentors', 'Social events for students to get to know each other', 'Regular events for international students to know the America better', 'We can have free shared bikes or scooters for students to access in the campus']"
10/27/22 15:55,"Mandatory physical and mental health classes
Increased security and police presence
More variety of offered courses
Giving opportunity to students to drop courses anytime during the semester without affecting their transcript
Classes should have more windows for ventilation

Healthier food options
Help with course selection
Healthcare availability on weekends
Increase in safety around campus
Increased frequency of buses on campus","['Mandatory physical and mental health classes', 'Increased security and police presence', 'More variety of offered courses', 'Giving opportunity to students to drop courses anytime during the semester without affecting their transcript', 'Classes should have more windows for ventilation']","['Healthier food options', 'Help with course selection', 'Healthcare availability on weekends', 'Increase in safety around campus', 'Increased frequency of buses on campus']"
10/27/22 15:56,"Increase number of seatings, monitors in the Library
Better wifi coverage in campus
More ECE course options
Diversity in food options
Cheaper food

Improve road condition
Improve Wi-Fi speed
Increase the varieties of food in dinning halls
Provide more monitors in library
Provide more books in library","['Increase number of seatings, monitors in the Library', 'Better wifi coverage in campus', 'More ECE course options', 'Diversity in food options', 'Cheaper food']","['Improve road condition', 'Improve Wi-Fi speed', 'Increase the varieties of food in dinning halls', 'Provide more monitors in library', 'Provide more books in library']"
10/27/22 15:56,"More ECE course options
Cheap and better quality food offerings
Provide more on-campus housing options for graduate students
Renovated campus housing
Increase frequency of free, fun events put on for students

More variety of offered courses
Better food options
Renovated campus housing
Improved campus transportation system
Larger gym","['More ECE course options', 'Cheap and better quality food offerings', 'Provide more on-campus housing options for graduate students', 'Renovated campus housing', 'Increase frequency of free, fun events put on for students']","['More variety of offered courses', 'Better food options', 'Renovated campus housing', 'Improved campus transportation system', 'Larger gym']"
10/27/22 15:56,"more classes offered
increased gra pay
more and cheaper food options
more hands on experience
more bus routes

Increased GRA pay
Reduced food prices for lunch options
More bus routes
More bike racks
More activities for grad students","['more classes offered', 'increased gra pay', 'more and cheaper food options', 'more hands on experience', 'more bus routes']","['Increased GRA pay', 'Reduced food prices for lunch options', 'More bus routes', 'More bike racks', 'More activities for grad students']"
10/27/22 15:57,"More on campus late night food options
Reduce number of courses per semester for international students
More library space
Cheap and better quality food offerings
Better wifi coverage on campus

Provide more food choices from more cultures in the canteen.
Bigger gym.
A 'real' soccer court with two gates.
More outdoor events organized by different student societies.
Provide some dorms for the graduate-level students.","['More on campus late night food options', 'Reduce number of courses per semester for international students', 'More library space', 'Cheap and better quality food offerings', 'Better wifi coverage on campus']","['Provide more food choices from more cultures in the canteen.', 'Bigger gym.', ""A 'real' soccer court with two gates."", 'More outdoor events organized by different student societies.', 'Provide some dorms for the graduate-level students.']"
10/27/22 15:57,"Offer more relevant courses in specialisations
More classes should allow students to attend remotely as this course does
Create more study spaces on campus
Healthier food options on campus
Social events for students to get to know each other

Please schedule office hours weekly on a regular basis
Optional problems to solve instead of presentations can help students in receiving extra credits since presentations are limited in number per class
Practice sessions with practice problems before exams
Some latest advancements can be covered in the lecture content 
More/Quick responsiveness on Piazza","['Offer more relevant courses in specialisations', 'More classes should allow students to attend remotely as this course does', 'Create more study spaces on campus', 'Healthier food options on campus', 'Social events for students to get to know each other']","['Please schedule office hours weekly on a regular basis', 'Optional problems to solve instead of presentations can help students in receiving extra credits since presentations are limited in number per class', 'Practice sessions with practice problems before exams', 'Some latest advancements can be covered in the lecture content ', 'More/Quick responsiveness on Piazza']"
10/27/22 15:57,"More crime prevention measures 
Improve course availability 
Reduce parking fees on campus 
Mandatory physical and mental health classes 
Make class syllabi publicly available 

More police presence around surrounding areas off campus in the evening
More affordable parking permits 
Better homecoming performer selection
For courses that only offer 8 am class times, allow for later times in addition 
Provide digital streaming services for all registered students","['More crime prevention measures ', 'Improve course availability ', 'Reduce parking fees on campus ', 'Mandatory physical and mental health classes ', 'Make class syllabi publicly available ']","['More police presence around surrounding areas off campus in the evening', 'More affordable parking permits ', 'Better homecoming performer selection', 'For courses that only offer 8 am class times, allow for later times in addition ', 'Provide digital streaming services for all registered students']"
10/27/22 15:57,"Increased security and police presence
More GTA/GRA opportunities
Easier registration process (course registrtation)
Better printing system
More recreational activities

Lower cirme rate
More food option
Course material recorded
Move all courses online
More social events","['Increased security and police presence', 'More GTA/GRA opportunities', 'Easier registration process (course registrtation)', 'Better printing system', 'More recreational activities']","['Lower cirme rate', 'More food option', 'Course material recorded', 'Move all courses online', 'More social events']"
10/27/22 16:00,"Better curriculum
Healthier food options
Make it easier to make appointments at Stamps
Easier and free access to mental health help
Training for career planning

Change exam formats or explore alternative syllabi for courses (math in particular)
more Asian food on campus
healthier foods on campus
better vending machines on campus
reducing student fees","['Better curriculum', 'Healthier food options', 'Make it easier to make appointments at Stamps', 'Easier and free access to mental health help', 'Training for career planning']","['Change exam formats or explore alternative syllabi for courses (math in particular)', 'more Asian food on campus', 'healthier foods on campus', 'better vending machines on campus', 'reducing student fees']"
10/27/22 16:00,"Create more study spaces on campus
Easier and free access to mental health help
Form a study group
Improve road condition
Provide more books in library

Provide more hands-on experiments on networks
Provide some reading materials before each lecture
In assignments, provide the original questions
In optional assignments, provide the solution by the professor or TA to help us understand
None","['Create more study spaces on campus', 'Easier and free access to mental health help', 'Form a study group', 'Improve road condition', 'Provide more books in library']","['Provide more hands-on experiments on networks', 'Provide some reading materials before each lecture', 'In assignments, provide the original questions', 'In optional assignments, provide the solution by the professor or TA to help us understand', 'None']"
10/27/22 16:00,"Increased GRA pay
Discounted taxes for Student Employees
Free campus parking
More student coupons we can use in daily life
Make meal plans more flexible/affordable

Discounted taxes for Student Employees
Discounts on COSTCO for foods and gas
Free snacks
Free campus parking
Discounted laptops","['Increased GRA pay', 'Discounted taxes for Student Employees', 'Free campus parking', 'More student coupons we can use in daily life', 'Make meal plans more flexible/affordable']","['Discounted taxes for Student Employees', 'Discounts on COSTCO for foods and gas', 'Free snacks', 'Free campus parking', 'Discounted laptops']"
10/27/22 16:01,"Lower the tuition and fee for out-of-state students.
Lower housing rent.
I wish there could be less assignments, more project works or hands-on labs (specially for grad student)
Improve Fall Course availability. (Spring has a lot of interesting courses and fall has very few)
To reduce number of courses per semester for international students(4+4+2 -> 3+4+3)

Lower the tuition and fee for out-of-state students.
Lower housing rent.
Provide more industrial-related courses/projects. 
Be more friendly for other major students to select CS major courses.
Free food.","['Lower the tuition and fee for out-of-state students.', 'Lower housing rent.', 'I wish there could be less assignments, more project works or hands-on labs (specially for grad student)', 'Improve Fall Course availability. (Spring has a lot of interesting courses and fall has very few)', 'To reduce number of courses per semester for international students(4+4+2 -> 3+4+3)']","['Lower the tuition and fee for out-of-state students.', 'Lower housing rent.', 'Provide more industrial-related courses/projects. ', 'Be more friendly for other major students to select CS major courses.', 'Free food.']"
10/27/22 16:01,"More RA/TA opportunities.
More funding opportunities.
Increase opportunities for GRA/GTA roles in ECE department
More support for job search
Each grad student has1 advisor to know closely what is their academic progress

Open book exams
Lesser num of compulsory creds internationals
Stress busting activities
Interactive sessions
Public transport","['More RA/TA opportunities.', 'More funding opportunities.', 'Increase opportunities for GRA/GTA roles in ECE department', 'More support for job search', 'Each grad student has1 advisor to know closely what is their academic progress']","['Open book exams', 'Lesser num of compulsory creds internationals', 'Stress busting activities', 'Interactive sessions', 'Public transport']"
10/27/22 16:01,"free books
more student events
less assignments
more equipment
larger deadlines

increased pay gra
lower student fees
build another gym or recreation center
increase more restaurant on campus
Discounted taxes for Student Employees","['free books', 'more student events', 'less assignments', 'more equipment', 'larger deadlines']","['increased pay gra', 'lower student fees', 'build another gym or recreation center', 'increase more restaurant on campus', 'Discounted taxes for Student Employees']"
10/27/22 16:02,"1. I wish there could be less assignments, more project works or hands-on labs (specially for grad student)
2. Increase opportunities for GRA/GTA roles in ECE department
3. Improve Fall Course avalaibilty. (Spring has a lot of interesting courses and fall has very few)
4. Fostering a success-oriented mindset and sense of belonging
5. Lower student fees. 

1. Create Opportunities to Engage With Alumni
2. Availability of more courses
3. Embrace Diversity
4. Fostering a success-oriented mindset and sense of belonging
5. Expanded access to experiential learning activities","['1. I wish there could be less assignments, more project works or hands-on labs (specially for grad student)', '2. Increase opportunities for GRA/GTA roles in ECE department', '3. Improve Fall Course avalaibilty. (Spring has a lot of interesting courses and fall has very few)', '4. Fostering a success-oriented mindset and sense of belonging', '5. Lower student fees. ']","['1. Create Opportunities to Engage With Alumni', '2. Availability of more courses', '3. Embrace Diversity', '4. Fostering a success-oriented mindset and sense of belonging', '5. Expanded access to experiential learning activities']"
10/27/22 16:03,"Free Coffee in Grad Lounges
Give international (grad) students the flexibility to decide whether they want to take 3 or 4 courses during a semester. (Currently intl. students must take 4 courses every semester, which gets pretty hectic and is unreasonable. I mean, we could take 3+4+3 courses in three semesters as opposed to 4+2+2. You get what I mean.)
Reasonable homework
More ECE course options.
better printing system

Reduce the workload (assignments) given to students to a reasonable level.
Give more days off during the semester. We seriously need a break!
Give international (grad) students the flexibility to decide whether they want to take 3 or 4 courses during a semester. (Currently intl. students must take 4 courses every semester, which gets pretty hectic and is unreasonable. I mean, we could take 3+4+3 courses in three semesters as opposed to 4+2+2. You get what I mean.)
Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.
Create opportunities for students that better prepare them for the workplace. I mean, make this a key aspect of a student's academic career.","['Free Coffee in Grad Lounges', 'Give international (grad) students the flexibility to decide whether they want to take 3 or 4 courses during a semester. (Currently intl. students must take 4 courses every semester, which gets pretty hectic and is unreasonable. I mean, we could take 3+4+3 courses in three semesters as opposed to 4+2+2. You get what I mean.)', 'Reasonable homework', 'More ECE course options.', 'better printing system']","['Reduce the workload (assignments) given to students to a reasonable level.', 'Give more days off during the semester. We seriously need a break!', 'Give international (grad) students the flexibility to decide whether they want to take 3 or 4 courses during a semester. (Currently intl. students must take 4 courses every semester, which gets pretty hectic and is unreasonable. I mean, we could take 3+4+3 courses in three semesters as opposed to 4+2+2. You get what I mean.)', 'Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.', ""Create opportunities for students that better prepare them for the workplace. I mean, make this a key aspect of a student's academic career.""]"
10/27/22 16:03,"More on campus late night food options
More. bike racks
Better system for choosing classes
Make meal plans more flexible/affordable
More support for job search

Improve course registration system
More on campus late night food options
Reduce parking fee
Improved access to university dinning halls and dining options for grad students
Being able to easily register for courses from schools other than your own school","['More on campus late night food options', 'More. bike racks', 'Better system for choosing classes', 'Make meal plans more flexible/affordable', 'More support for job search']","['Improve course registration system', 'More on campus late night food options', 'Reduce parking fee', 'Improved access to university dinning halls and dining options for grad students', 'Being able to easily register for courses from schools other than your own school']"
10/27/22 16:05,"1. Lower student fees 
2. Less tests, more project works or hands-on labs (specially for grad student)
3. More ECE course options.
4. Healthcare availability on weekends
5. More fun events available to all students 

1. Affordable tuition
2. More study space in library
3. Psychological consultation system
4. Interesting student events
5. Diverse food options","['1. Lower student fees ', '2. Less tests, more project works or hands-on labs (specially for grad student)', '3. More ECE course options.', '4. Healthcare availability on weekends', '5. More fun events available to all students ']","['1. Affordable tuition', '2. More study space in library', '3. Psychological consultation system', '4. Interesting student events', '5. Diverse food options']"
10/27/22 16:06,"Increased GRA pay
Lower housing rent
Free food
Better Transportation
More fun events available to all students 

Free food provided
More options for student housing
More events for the students on campus
More outdoor activities for students
Less workload for classes","['Increased GRA pay', 'Lower housing rent', 'Free food', 'Better Transportation', 'More fun events available to all students ']","['Free food provided', 'More options for student housing', 'More events for the students on campus', 'More outdoor activities for students', 'Less workload for classes']"
10/27/22 16:07,"Lower the tuition and fee for out-of-state students.
Provide more on-campus housing options for graduate students.
Should be more food options on campus so that lines are shorter during busy times.
Having additional advising for courses by people who are familiar with courses in the department (especially for grad students)
Provide more Vegan food options in the dining halls

I think that there should be more food options on campus so that lines are shorter during busy times.
I think that the CULC roof should be open everyday.
I think that registration should be easier.
I think that the on campus housing should be cheaper.
I think that the architecture of new buildings should be less industrial.","['Lower the tuition and fee for out-of-state students.', 'Provide more on-campus housing options for graduate students.', 'Should be more food options on campus so that lines are shorter during busy times.', 'Having additional advising for courses by people who are familiar with courses in the department (especially for grad students)', 'Provide more Vegan food options in the dining halls']","['I think that there should be more food options on campus so that lines are shorter during busy times.', 'I think that the CULC roof should be open everyday.', 'I think that registration should be easier.', 'I think that the on campus housing should be cheaper.', 'I think that the architecture of new buildings should be less industrial.']"
10/27/22 16:07,"More ECE course options or larger class sizes
More on campus late night food options
Discussion of research topics every once in a while (monthly)
More stinger bus routes
Be more friendly for other major students to select CS major courses. 

More free food
More food options
Later bus schedule
Fewer class requirements
Less e-mails","['More ECE course options or larger class sizes', 'More on campus late night food options', 'Discussion of research topics every once in a while (monthly)', 'More stinger bus routes', 'Be more friendly for other major students to select CS major courses. ']","['More free food', 'More food options', 'Later bus schedule', 'Fewer class requirements', 'Less e-mails']"
